| Nr. | Start |  Stop |  Time | Energy |
| --: | ----: | ----: | ----: | -----: |
|   1 | 0,00s | 0,22s | 0,22s |    832 |
|   2 | 0,00s | 0,83s | 0,83s |    865 |
|   3 | 0,00s | 1,25s | 1,25s |   1187 |
|   4 | 0,00s | 1,98s | 1,98s |   1225 |
|   5 | 0,00s | 2,74s | 2,74s |   1384 |
|   6 | 0,22s | 0,83s | 0,61s |    239 |
|   7 | 0,22s | 1,25s | 1,03s |    846 |
|   8 | 0,22s | 1,98s | 1,76s |    899 |
|   9 | 0,22s | 2,74s | 2,53s |   1107 |
|  10 | 0,83s | 1,25s | 0,43s |    812 |
|  11 | 0,83s | 1,98s | 1,15s |    867 |
|  12 | 0,83s | 2,74s | 1,92s |   1081 |
|  13 | 0,83s | 3,63s | 2,80s |   1408 |
|  14 | 1,25s | 1,98s | 0,73s |    305 |
|  15 | 1,25s | 2,74s | 1,49s |    713 |
|  16 | 1,25s | 3,63s | 2,38s |   1150 |
|  17 | 1,25s | 3,84s | 2,59s |   1279 |
|  18 | 1,98s | 2,74s | 0,77s |    645 |
|  19 | 1,98s | 3,63s | 1,65s |   1109 |
|  20 | 1,98s | 3,84s | 1,87s |   1242 |
|  21 | 1,98s | 4,45s | 2,48s |   2040 |
|  22 | 2,74s | 3,63s | 0,88s |    903 |
|  23 | 2,74s | 3,84s | 1,10s |   1062 |
|  24 | 2,74s | 4,45s | 1,71s |   1935 |
|  25 | 3,63s | 3,84s | 0,22s |    559 |
|  26 | 3,63s | 4,45s | 0,83s |   1712 |
|  27 | 3,63s | 5,78s | 2,15s |   1745 |
|  28 | 3,84s | 4,45s | 0,61s |   1618 |
|  29 | 3,84s | 5,78s | 1,93s |   1653 |
|  30 | 4,45s | 5,78s | 1,33s |    338 |
|  31 | 4,45s | 6,89s | 2,44s |    987 |
|  32 | 5,78s | 6,89s | 1,12s |    927 |
